ticker,IisT,IisBcsDasha,IisAlphaAnya
LKOH,9,11,
GMKN,160,140,
SBER,180,220,
SBERP,40,40,
TCSG,5,7,
GAZP,390,340,
POSI,1,1,
ALRS,80,70,
AFKS,100,200,
AFLT,60,60,
VTBR,35,36,
VKCO,6,7,
IRAO,1500,1600,
MAGN,100,110,
CBOM,400,400,
MOEX,20,30,
MTSS,20,20,
NLMK,40,40,
NVTK,16,13,
PIKK,9,8,
PLZL,1,1,
ROSN,18,18,
RTKM,50,50,
RUAL,150,150,
CHMF,6,6,
SNGS,500,500,
SNGSP,230,200,
TATN,58,29,
TATNP,8,8,
TRNFP,2,2,
PHOR,1,,
FEES,1,30000,
ENPG,1,4,
BSPB,,10,
ASTR,,5,
FLOT,,40,
@RUB,3464,465,400000