ticker,percentTgt,qty,price,lotSize,date,name,percent,value,valueTgt,lotQtyTgt
LKOH,0.14847030593881225,7.0,6347.0,1,2024-08-15,LUKOIL,0.33292668853756247,44429.0,19813.332633473306,3.0
SBER,0.13217356528694263,130.0,278.01,10,2024-08-15,Sberbank,0.2708231859470752,36141.299999999996,17638.535852829435,6.0
GAZP,0.10317936412717457,50.0,127.6,10,2024-08-15,Gazprom,0.047808239502794316,6380.0,13769.26550689862,11.0
TATN,0.06648670265946811,31.0,608.5,1,2024-08-15,Tatneft-3,0.14135277834811294,18863.5,8872.637172565486,15.0
GMKN,0.04519096180763847,110.0,125.0,10,2024-08-15,NorNickel GMK,0.10303499892843603,13750.0,6030.724815036992,5.0
NVTK,0.03609278144371126,11.0,1029.0,1,2024-08-15,NOVATEK,0.08481841111788853,11319.0,4816.574465106978,5.0
TCSG,0.03259348130373925,1.0,2567.0,1,2024-08-15,IPJSC TCS Holding,0.019235697618130564,2567.0,4349.593561287742,2.0
SNGSP,0.03219356128774246,0.0,48.76,100,2024-08-15,Surgut-pref,0.0,0.0,4296.224315136973,1.0
SNGS,0.031193761247750453,0.0,26.22,100,2024-08-15,Surgut,0.0,0.0,4162.801199760048,2.0
PLZL,0.02549490101979604,0.0,12591.5,1,2024-08-15,Polus,0.0,0.0,3402.2894421115775,0.0
SBERP,0.02549490101979604,0.0,277.3,10,2024-08-15,Sberbank (pref),0.0,0.0,3402.2894421115775,1.0
ROSN,0.02239552089582084,0.0,493.75,1,2024-08-15,Rosneft,0.0,0.0,2988.6777844431117,6.0
CHMF,0.020195960807838434,0.0,1382.0,1,2024-08-15,Severstal - ao,0.0,0.0,2695.1469306138774,2.0
PIKK,0.01619676064787043,0.0,772.7,1,2024-08-15,PIK SZ,0.0,0.0,2161.4544691061787,3.0
OZON,0.015196960607878425,0.0,3519.5,1,2024-08-15,ADS Ozon Holdings PLC ORD SHS,0.0,0.0,2028.031353729254,1.0
NLMK,0.015196960607878425,0.0,161.9,10,2024-08-15,NLMK ao,0.0,0.0,2028.031353729254,1.0
RUAL,0.013997200559888023,0.0,34.335,10,2024-08-15,RUSAL ao,0.0,0.0,1867.9236152769445,5.0
IRAO,0.013397320535892822,0.0,3.844,100,2024-08-15,Inter RAO ao,0.0,0.0,1787.86974605079,5.0
MGNT,0.01259748050389922,0.0,5480.0,1,2024-08-15,Magnit,0.0,0.0,1681.13125374925,0.0
MAGN,0.01239752049590082,0.0,49.96,10,2024-08-15,MMK,0.0,0.0,1654.4466306738652,3.0
MTSS,0.01229754049190162,0.0,222.6,10,2024-08-15,MTS,0.0,0.0,1641.1043191361725,1.0
MOEX,0.01199760047990402,0.0,223.79,10,2024-08-15,MoscowExchange,0.0,0.0,1601.0773845230954,1.0
ALRS,0.01199760047990402,0.0,58.7,10,2024-08-15,ALROSA ao,0.0,0.0,1601.0773845230954,3.0
TATNP,0.011897620475904818,0.0,608.3,1,2024-08-15,Tatneft (pref),0.0,0.0,1587.7350729854027,3.0
FIVE,0.010697860427914417,0.0,2798.0,1,2024-08-15,GDR X5 RetailGroup N.V.ORD SHS,0.0,0.0,1427.6273345330933,1.0
RTKM,0.009698060387922416,0.0,84.37,10,2024-08-15,Rostelecom,0.0,0.0,1294.2042191561686,2.0
AGRO,0.008198360327934412,0.0,1233.2,1,2024-08-15,GDR ROS AGRO PLC ORD SHS,0.0,0.0,1094.0695460907816,1.0
VTBR,0.007998400319936013,0.0,99.28,1,2024-08-15,VTB,0.0,0.0,1067.384923015397,11.0
AFLT,0.007998400319936013,0.0,49.04,10,2024-08-15,Aeroflot,0.0,0.0,1067.384923015397,2.0
AFKS,0.007598480303939213,0.0,19.817,100,2024-08-15,AFK Sistema,0.0,0.0,1014.015676864627,1.0
POSI,0.007298540291941612,0.0,2824.2,1,2024-08-15,PJSC Positive Group,0.0,0.0,973.9887422515496,0.0
VKCO,0.007298540291941612,0.0,409.8,1,2024-08-15,VK International Public JS Com,0.0,0.0,973.9887422515496,2.0
PHOR,0.006898620275944811,0.0,5451.0,1,2024-08-15,PhosAgro ao,0.0,0.0,920.6194961007798,0.0
CBOM,0.006398720255948811,0.0,6.767,100,2024-08-15,MKB ao,0.0,0.0,853.9079384123175,1.0
TRNFP,0.00629874025194961,0.0,1372.5,1,2024-08-15,Transneft (pref),0.0,0.0,840.565626874625,1.0
FLOT,0.00559888022395521,0.0,103.2,10,2024-08-15,Sovcomflot,0.0,0.0,747.1694461107779,1.0
BSPB,0.004499100179964008,0.0,359.71,10,2024-08-15,BSP,0.0,0.0,600.4040191961608,0.0
FEES,0.003999200159968006,0.0,0.1,10000,2024-08-15,FGC ROSSETI,0.0,0.0,533.6924615076985,1.0
MTLR,0.003999200159968006,0.0,150.2,1,2024-08-15,Mechel,0.0,0.0,533.6924615076985,4.0
ENPG,0.0038992201559688066,0.0,365.45,1,2024-08-15,EN+ GROUP IPJSC ORD SHS,0.0,0.0,520.350149970006,1.0
MSNG,0.003399320135972806,0.0,2.5855,1000,2024-08-15,MosEnrg,0.0,0.0,453.6385922815437,0.0
GLTR,0.0028994201159768048,0.0,594.7,1,2024-08-15,GDR Globaltrans Inves ORD SHS,0.0,0.0,386.9270345930814,1.0
SMLT,0.0028994201159768048,0.0,2506.0,1,2024-08-15,Samolet,0.0,0.0,386.9270345930814,0.0
MTLRP,0.0026994601079784047,0.0,156.75,10,2024-08-15,Mechel pref.,0.0,0.0,360.2424115176965,0.0
SELG,0.0025994801039792045,0.0,54.85,10,2024-08-15,Seligdar,0.0,0.0,346.90009998000403,1.0
UPRO,0.0025994801039792045,0.0,1.869,1000,2024-08-15,Unipro PAO ao,0.0,0.0,346.90009998000403,0.0
LEAS,0.002299540091981604,0.0,841.3,1,2024-08-15,Europlan,0.0,0.0,306.8731653669266,0.0
HYDR,0.0021995600879824036,0.0,0.5981,1000,2024-08-15,RusGidro,0.0,0.0,293.53085382923416,0.0
SGZH,0.001699660067986403,0.0,2.185,100,2024-08-15,Segezha,0.0,0.0,226.81929614077185,1.0
